itstId,itstNm,mapCtptIntLat,mapCtptIntLot
10,난곡우체국앞,374777135,1269153603
1007,우리은행암사,375547454,1271364893
101,수서역,374873221,1271017420
1014,선사사거리,375547665,1271291998
1015,대한볼링협회,375311298,1271375030
1016,강동아트센터,375517116,1271563351
1017,명일여고앞,375491714,1271493232
1029,풍납사거리,375280110,1271191417
1030,방이2동주민센터,375145952,1271148971
1031,개롱근린공원,374932805,1271296167
1037,아시아선수촌정문,375097733,1270788142
1038,광평교,374896637,1271091864
1040,신림교입구,374824117,1269298743
1041,관악소방서,374739563,1269530389
1042,롯데백화점관악,374898846,1269253618
1047,은천로입구,374863436,1269350321
1049,당곡초교입구,374884320,1269301134
1057,삼성아파트삼거리,375433189,1271023666
1058,올림픽대교북단,375411583,1270958430
1059,구의사거리,375450815,1270853010
1062,광산사거리,376431820,1270223348
1063,번동사거리,376354763,1270338317
1066,우리은행중화,376053721,1270787309
1068,신내차량기지,376129609,1271013286
1069,동일로지하차도,375950098,1270803091
107,래미안파크팰리스,374971179,1271325641
1070,석관지구대앞,376110042,1270626167
1071,광운대입구,376169501,1270564180
1073,서울과학기술대입구,376289119,1270713419
1074,노원자동차검사소,376379678,1270724311
1075,중계경남아파트,376435364,1270648555
1077,중계역,376455616,1270638932
108,수협은행압구정,375236400,1270283351
1082,리치다이아몬드호텔,376478640,1270157962
1086,수유시장앞,376306573,1270244510
1088,강월초교입구,375170546,1268394136
1089,노해근린공원,376491922,1270695663
109,서초삼성스위트아파트,374953066,1270250233
1091,내발산초교앞,375508022,1268363575
1092,강서소방서,375580260,1268609272
1102,온수삼거리,374931506,1268374117
1103,동부제강입구,374916277,1268326653
1104,목동야구장,375288390,1268803406
1108,역말사거리,376058605,1269153867
1109,서울혁신파크,376088220,1269313876
111,현대빌딩본관,375773531,1269881574
1112,은천치안센터,374830837,1269437765
1114,청룡초교,374757545,1269527111
1117,관악구청,374787077,1269523160
1123,대치삼성아파트앞,374982423,1270588972
1125,도구로입구,374788254,1269896875
1126,오륜주유소,375094109,1271406962
1129,광진교북단삼거리,375468186,1271058991
1132,신월마이홈아파트,375225465,1268479725
1133,양화교밑,375471526,1268804472
1134,신서중,375154598,1268549984
1137,서울시설공단남단,375717896,1270379466
1141,목동중학교앞,375197869,1268724966
1142,광영여고,375392483,1268241611
1147,강서구청,375515969,1268494681
1148,등촌동,375579696,1268445957
1149,신월초교입구,375405044,1268362387
1156,양강중,375240653,1268509060
1157,열병합발전소앞,375392572,1268856340
1159,광남중고교입구,375392679,1270983676
1165,먹골역,376122201,1270774212
1167,우리은행태릉역지점,376155455,1270763599
1168,길음역,376042801,1270251618
1172,공릉역,376256089,1270730069
1173,노원구청,376536533,1270576018
1174,창원초교,376517571,1270415856
1175,귀뚜라미연구소,375618654,1268271627
1178,메이필드호텔,375491460,1268164821
1179,우장산역,375479585,1268363561
1181,불암지구대,376522204,1270775849
1183,서초푸르지오써밋,375017678,1270219365
1184,신계초교,376299598,1270540575
1188,녹번초교,376035290,1269254019
1190,방화사거리,375734357,1268114452
1192,거리공원오거리,374974890,1268931062
1194,수동물병원,374985483,1268859459
1195,계남공원,375099471,1268581124
1197,신도고교,376304785,1269192546
1198,한국환경산업기술원,376095274,1269329975
1199,영보빌딩은평,376164644,1269188239
1201,대림부동산,374842028,1269397976
1202,병천순대,374832510,1269422263
1203,진광공업사,374823876,1269507765
1204,유수지삼거리,375269440,1271216188
1207,서이지구대,374925273,1270282361
1210,동방사우나,375217478,1268464293
1211,대한도시가스,374983006,1270761548
1213,장지IC하향,374697198,1271246679
1217,역촌시장,376124172,1269153304
1219,홍대역2번출구,375567035,1269236053
1221,언북중학교,375200047,1270345078
1222,망우금호아파트,376003969,1271095853
1223,삼부그린체육센터,376071913,1271009568
1224,망우역,375981879,1270928062
